,precision,recall,f1-score,support,roc_auc,pr_auc,f1
Normal,0.9999826239940922,1.0,0.999991311921564,1381191.0,,,
Anomaly,1.0,0.8536585365853658,0.9210526315789473,164.0,,,
accuracy,0.9999826257551462,0.9999826257551462,0.9999826257551462,0.9999826257551462,,,
macro avg,0.999991311997046,0.9268292682926829,0.9605219717502557,1381355.0,,,
weighted avg,0.9999826260570411,0.9999826257551462,0.9999819400051658,1381355.0,,,
overall,,,,,0.9999990420074185,0.9926452755364021,0.9210526315789473
