,precision,recall,f1-score,support,roc_auc,pr_auc,f1
Normal,0.9998834470147233,0.9999956559230403,0.9999395483209818,1381191.0,,,
Anomaly,0.3333333333333333,0.018292682926829267,0.03468208092485549,164.0,,,
accuracy,0.9998791042128924,0.9998791042128924,0.9998791042128924,0.9998791042128924,,,
macro avg,0.6666083901740283,0.5091441694249348,0.5173108146229186,1381355.0,,,
weighted avg,0.9998043115146935,0.9998791042128924,0.9998249490871477,1381355.0,,,
overall,,,,,0.7958045920107375,0.021142831056462422,0.03468208092485549
