,precision,recall,f1-score,support,roc_auc,pr_auc,f1
Normal,0.9998834474366037,0.9999992759871734,0.9999413583576285,1381191.0,,,
Anomaly,0.75,0.018292682926829267,0.03571428571428571,164.0,,,
accuracy,0.999882723847237,0.999882723847237,0.999882723847237,0.999882723847237,,,
macro avg,0.8749417237183019,0.5091459794570014,0.5178278220359571,1381355.0,,,
weighted avg,0.9998537802725659,0.999882723847237,0.9998268814563878,1381355.0,,,
overall,,,,,0.5924926253554483,0.021034486719143642,0.03571428571428571
