,precision,recall,f1-score,support,roc_auc,pr_auc,f1
Normal,0.999913088569321,0.9912394447980041,0.9955573750882144,1381191.0,,,
Anomaly,0.0037052284890901604,0.27439024390243905,0.007311723129417499,164.0,,,
accuracy,0.9911543375888168,0.9911543375888168,0.9911543375888168,0.9911543375888168,,,
macro avg,0.5018091585292056,0.6328148443502215,0.5014345491088159,1381355.0,,,
weighted avg,0.9997948147808646,0.9911543375888168,0.995440046605007,1381355.0,,,
overall,,,,,0.931173168663856,0.010696393112564925,0.007311723129417499
