,precision,recall,f1-score,support,roc_auc,pr_auc,f1
Normal,0.9679225439247711,0.999896147055769,0.9836495879979096,125177.0,,,
Anomaly,0.9548611111111112,0.06217499434772779,0.11674803651029506,4423.0,,,
accuracy,0.9678935185185186,0.9678935185185186,0.9678935185185186,0.9678935185185186,,,
macro avg,0.9613918275179412,0.5310355707017484,0.5501988122541023,129600.0,,,
weighted avg,0.9674767822169407,0.9678935185185186,0.9540638969313222,129600.0,,,
overall,,,,,0.632381318570652,0.16892940811499507,0.11674803651029506
