,precision,recall,f1-score,support,roc_auc,pr_auc,f1
Normal,0.9695601338547757,0.9605598472562851,0.9650390060676105,125177.0,,,
Anomaly,0.11602506714413607,0.14650689577210038,0.12949640287769784,4423.0,,,
accuracy,0.9327777777777778,0.9327777777777778,0.9327777777777778,0.9327777777777778,,,
macro avg,0.5427926004994559,0.5535333715141927,0.5472677044726542,129600.0,,,
weighted avg,0.9404306153357853,0.9327777777777778,0.9365235358985596,129600.0,,,
overall,,,,,0.661793107606701,0.10627396214246625,0.12949640287769784
