,precision,recall,f1-score,support,roc_auc,pr_auc,f1
Normal,0.9752449635494238,0.9938886536664083,0.984478549695941,125177.0,,,
Anomaly,0.6231527093596059,0.28600497399954783,0.39206570587323725,4423.0,,,
accuracy,0.9697299382716049,0.9697299382716049,0.9697299382716049,0.9697299382716049,,,
macro avg,0.7991988364545148,0.639946813832978,0.6882721277845891,129600.0,,,
weighted avg,0.963228728670708,0.9697299382716049,0.964260632965788,129600.0,,,
overall,,,,,0.7949854342448245,0.34238527618726694,0.39206570587323725
