,precision,recall,f1-score,support,roc_auc,pr_auc,f1
Normal,0.967551690821256,1.0,0.9835082812156258,125177.0,,,
Anomaly,1.0,0.05087044992086819,0.096815834767642,4423.0,,,
accuracy,0.967608024691358,0.967608024691358,0.967608024691358,0.967608024691358,,,
macro avg,0.983775845410628,0.525435224960434,0.540162057991634,129600.0,,,
weighted avg,0.9686590895210831,0.967608024691358,0.9532471647755068,129600.0,,,
overall,,,,,0.6064150102184676,0.17740090941569392,0.096815834767642
