,precision,recall,f1-score,support,roc_auc,pr_auc,f1
Normal,0.9998863424942248,0.999996379935867,0.9999413581878087,1381191.0,,,
Anomaly,0.5833333333333334,0.042682926829268296,0.07954545454545454,164.0,,,
accuracy,0.999882723847237,0.999882723847237,0.999882723847237,0.999882723847237,,,
macro avg,0.791609837913779,0.5213396533825676,0.5397434063666317,1381355.0,,,
weighted avg,0.9998368876520572,0.999882723847237,0.9998320850985613,1381355.0,,,
overall,,,,,0.7210810492450392,0.03741766343825397,0.07954545454545454
