,precision,recall,f1-score,support,roc_auc,pr_auc,f1
Normal,0.5226960110041265,0.0030357014467514002,0.006036345151861736,125177.0,,,
Anomaly,0.03162803690454944,0.9215464616775944,0.061157123994718524,4423.0,,,
accuracy,0.034382716049382714,0.034382716049382714,0.034382716049382714,0.034382716049382714,,,
macro avg,0.277162023954338,0.46229108156217286,0.03359673457329013,129600.0,,,
weighted avg,0.5059368007460832,0.034382716049382714,0.00791751185573485,129600.0,,,
overall,,,,,0.47242659086119987,0.08198550181612346,0.061157123994718524
